label	text_a
肖战最好的你	xzᶫᵒᵛᵉᵧₒᵤ☪(◍•ᴗ•◍)喜̻欢̻你̻呀̻像̻一̻颗̻奶̻糖̻🍬从̻眉̻间̻甜̻到̻脚̻尖̻🤩
肖战为你开小灶	战哥，今天我去了中山的线下开小灶[兔子]真的太幸福了，和虾姐妹面基了，跟她们一起玩，一起看你忙到现在才有空写这条微博，虽然有点累，但也是幸福的看到这面心愿墙的时候，我又再次感叹——画的好好看啊啊啊啊啊啊啊啊
肖战	朋友圈背景图|壁纸|厨房系列|水果大会
肖战余生请多指教	xz早上好，又到了周五啦，激动地来要兔兔
肖战	这个男人终于记起我们了二月二龙抬头，我们终于等到你的自拍了。让我们新的一年从头开始头发的数量代表着我的心意。（其实才不是勒，只是因为见到他发自拍，心情激动，一下子手抖而已）后面两张是补的18根的头发
肖战余生请多指教	给你讲个故事，这故事很长，所以我长话短说，我想你了肖战
肖战	双份开屏肖战真的太帅了
肖战唐三	宝贝们电视机打开了吗央视频打开了吗？进进出出，蹦蹦跳跳好吗别忘了抽奖哦xz
肖战	181202深圳✈️北京·到达·捧花的少年[给你小心心]肖肖的眼睛真的好干净
肖战	我喜欢的少年-眼里有光心中有太阳我们手绘产出大大~不管前路如何保持炙热坚持下去总会遇见光明[给你小心心]虾虾们来说1下对哥哥正能量语录印象最深刻的话吧xz
肖战唐三	xz上了上了热搜铺起来冲冲冲！
肖战平安喜乐	181202深圳北京·到达·捧花的少年[给你小心心]肖肖的眼睛真的好干净
肖战余生请多指教	xz想要大量兔兔🐰谢谢[作揖]肖战最优秀，肖战余生请多指教，支持肖战影视综艺
支持肖战代言	xz陌森眼镜品牌代言人肖战！认真对待每一个舞台，敢于尝试，跨出原定界限，人生从来不止一面！
苏战	禁x你正文：《用尽我的一切奔向你》天才设计师x青梅摄影｜意识流｜青梅｜苏向酒后重逢，高甜双箭头奔赴“顾思桃，欠我的四年，你想想怎么还。”摸个短篇，蹲到二十人开，糊了就…哈哈哈就当我没来过。
狼殿下肖战	xz端午安康ShallIcomparetheetoasummer'sdayThouartmorelovelyandmoretemperate我能否把你比作夏日虽然你比夏日更加可爱，更加温暖📖肖战余生请多指教狼殿下肖战图片cr.logo
肖战	xz宝宝们！！寻了吗？权了吗？签到了吗？送花花了吗？去贴吧盖别墅了吗？还有就是记得发微博多带剧名和这两个tag哦！！非常重要！！
肖战斗罗大陆	xz今日份兔兔
肖战	GN.帅气的肖战唐三
肖战余生请多指教	[太阳]陪伴是最长情的告白，相守是最温暖的承诺，等待是最青涩的恋情，微笑是最美好的回忆。-肖战
肖战最好的你	肖战告别斗罗大陆肖战唐三唐三毕业快乐！！我们的懵懂少年成长成为了有领导者风范的强者无惧前方冒险共赴青春热血有幸看到唐三的故事暂告一段落了不说再见期待重逢～祝贺肖战唐三毕业啦一起成长，共同进步啊
肖战	加油！目标很接近了！
早安	[心]肖战，一切美好皆不及你，却是美好可及，你不可及，很多人看久了就腻，唯独你越看越喜欢。今天又是想你的一天，早安
肖战	肖战温文尔雅！肖战茂林修竹！肖战清爽干净！肖战真诚随性！肖战温暖平和！肖战丰神俊朗！肖战帅出天际！肖战酷帅无比！肖战正能量艺人！肖战踏实认真！肖战积极上进！肖战乐观敬业！肖战礼貌谦逊！肖战我喜欢你肖战加盟冬梦之约肖战冰球运动推广大使
肖战	宝贝们，目前有两个热搜大家都铺一下哦~不管有没有广场都发发空间夹层那个是新上的，加热加热xz
肖战余生请多指教	xz2019.11.16微博存档，无论未来多么辛苦，只要你在身边我就满足xzxfxxzgg
肖战最好的你	[音乐]正在播放《满足》●━━━━━━━━━━10:05⇆◁ㅤ❚❚ㅤ▷↻只为你的笑容不被辜负无论未来多么辛苦♥♥♥xz
肖战斗罗大陆	xz是扭蛋扭出了好东西，惊喜到宛如中了五百万的崽崽[偷笑]
肖战余生请多指教	|愿我们深爱着的那个少年星途坦荡，爱你所爱，求你所求，听从你心，无问西东！！！肖战平安喜乐！顺顺利利！开开心心过好每一天。愿世间所有的美好都陪伴着你
电视剧斗罗大陆	斗志昂扬凭武魂罗网破灭兴唐门大战方显怪杰情陆沉更增成神氛期待剧版斗路大陆，期待剧版唐三期待肖战xz
肖战	"""温暖阳光、舞台灯光,甚至你的目光,每一种""光""都令我心动。未来已来,愿成为让你们骄傲的那一道光""“你们陪伴我，我们一起成长，我想这就是成长的力量，我觉得成长的力量就是我的满足”"
肖战斗罗大陆	xz宝贝们，电视机打开了吗央视频打开了吗
肖战	圈在家里吃上了榆钱窝窝Yummy
肖战	阿弥陀佛，俺也不知道有没有，但是女主那边没有动静，大家懂吧溜自己没关系，回头别把自己溜哭了【俺也是猜测，有就是意外之喜，没有就接着等】
肖战斗罗大陆	[兔子]“如果以后有一个很好的契机，很好的一个机遇在等待我，那我希望它来的时候我能抓得住吧！”【在线互】图片来源水印处
肖战最好的你	我喜欢肖战我心悦肖战我爱肖战我仰慕肖战我好感肖战肖战好帅肖战身材好肖战颜值高肖战人品好肖战温柔谦逊有礼肖战可爱聪明肖战知识面广肖战大帅哥肖战唱歌好听肖战演技好肖战跳舞好帅肖战温柔体贴肖战优秀肖战可塑性强肖战自律肖战体面肖战情商高肖战穿搭
肖战	在等首页修图大佬们的新图！你们快修啊
肖战唐三	xz鬼故事来了，加油看剧[加油]！！！
肖战	关键时刻一条也发不出去
肖战	补尾款成功~我也是拥有小火锅的🦐了!
肖战斗罗大陆	xz一定要一起走下去，走到灯火通明[给你小心心]
肖战	转发理由:原始用户:世界一番難過的猪转发内容:狗勾来惹´༥`
肖战最好的你	xzxzxzggxzxzxzggxzxzxzxzxzxz今日积分贴，诚信互捞，指路必回，求二十个兔兔@X玖少年团你战DAYTOY
肖战	xz有点惨，请求兔兔[二哈]谢谢❗肖战优秀，肖战正能量，肖战最帅，肖战人品好。
肖战余生请多指教	打算今天直接睡到12点，这样一睁眼就可以看到你啦[爱你]xzxzxzxz诚信互捞，指路必回，求二十个兔兔
支持肖战代言	|每天早起一瓶，用化个美妆，拿上带上出门，和人约好喝和，回家就吃。总之，，。
