text_a	label
转发理由://@1005号肥虾饲养部:感谢@FengChenWangStudio分享，姓名身穿水墨提花西装，完美演绎温润与时尚的碰撞原始用户:FengChenWangStudio转发内容:演绎FengChenWang水墨提花西服，冷峻之中尽显儒雅深邃。设计师@FengChenWang王逢陈以水墨般的意境提炼所见之景，摩登先锋之下的淡然恬静独树一帜。即刻前往与官方小程序，Get水墨系列单品。	姓名
兔兔兔兔，养家养兔了(我吞评有点厉害，多兔兔我几个谢谢啦)	姓名
不是什么水都能喝	姓名
我裂开！！帮扩帮转🆘副超的虾虾们。还有谁没做寻权吗快快快，立刻马上花十秒钟做一下嘛姓名	姓名最好的你
转发理由:恭喜@ddfdfsff1名用户获得【Roseonly兔子玫瑰花】。微博官方唯一抽奖工具@微博抽奖平台对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台原始用户:5秒樱速转发内容:带姓名大名卷发夸一夸我们帅气的宝贝，不带大名无效，明天晚上1005送一朵roseonly玫瑰花，黑色圈起来那个，要有今天干活记录，双十一有支持商务，超话不少于10级即可，不满足条件请不要参与，中奖后24小时内私信地址，不然作废抽奖详情	姓名
[微风]做一个善良的人，善良如雪莲，圣洁高雅。善良像阳光，温暖明媚，成为人生最温暖的底色；善良是可以传递的，溪流一样漫过田野和山谷，荡涤生命的尘埃。善良是可以延续的，绵延成心的路标，指引你的走向。	每日一善
转发理由:恭喜@A-better-world1名用户获得【等身海报】。微博官方唯一抽奖工具@微博抽奖平台对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台原始用户:5秒樱速转发内容:姓名在电视上看到我们小灶了，有人喜欢这个1:1等身高海报吗？2米长(姓名啊，全是腿），带和这两个tag卷🌸，7月27号送一个人，包邮(别嫌时间长啊，这天是我喜欢姓名一周年的日子，我想有点仪式感)，有可能会塞小周边，不带tag无效，点点不少于52张，超话10级以上，纯🦐，禁小号，其余没啥了抽奖详情	支持姓名代言
姓名姓名，想一直陪着你走，不需要有太多理由，陪着你一直走到尽头！	姓名余生请多指教
姓名宝贝们，晚上六点了！！寻艺做了吗？权力做了吗？？🐔分拿满了吗！！完成打卡扩散[打call]	姓名
朋友圈背景图|美食系列壁纸🍰	姓名
