微博id,微博正文,头条文章url,原始图片url,被转发微博原始图片url,是否为原创微博,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
K76xKruZC,[置顶]#肖战看别人拍吻戏#xz#肖战唐三#  斗罗拽哥，闪亮登场！他能有什么坏心眼呢！他只是拽一点而已！@X玖少年团肖战DAYTOY#肖战斗罗大陆# 惊世公子的微博视频  ,,无,无,True,"http://f.video.weibocdn.com/NZ4rtxyglx07Lf9ngpeg0104120076yI0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1616314353&ssig=AijBtg4L7E&KID=unistore,video",无,2021-03-20 21:20,我们坐在高高的虾壳上听老虾讲过去的故事超话,511,110,73
K7d3IAcZ8,"转发理由:#肖战加盟冬梦之约# 绽放冬梦，感受冰雪魅力！与@X玖少年团肖战DAYTOY  一起为北京冬奥会打call！#肖战[超话]#  
原始用户: 冬梦之约官方微博
转发内容: #冬梦之约# @X玖少年团肖战DAYTOY  在节目中为我们带来的第二个音乐舞台《Something Just Like This（我想要的不过如此）》，和肖战一起合唱的还有“云端”的各国友人们，当大家的脸都出现在同一个银幕上时，令人激动和振奋人心，就让我们再次聆听这首歌，并在歌声中感受冬奥的魅力和运动的精神吧！ 冬梦之约官方微博的微博视频                     ",,无,无,False,无,无,2021-03-21 13:55,Android,131,274,65
K7d2ZpSxF,"转发理由:和@X玖少年团肖战DAYTOY 一起为冬奥加油！让我们再次聆听这首歌，在歌声中感受冬奥的魅力和运动的精神吧！ #肖战冰球运动推广大使# #肖战[超话]#  
原始用户: 北京卫视
转发内容: #冬梦之约# @X玖少年团肖战DAYTOY  在节目中为我们带来的第二个音乐舞台《Something Just Like This（我想要的不过如此）》，和肖战一起合唱的还有“云端”的各国友人们，当大家的脸都出现在同一个银幕上时，令人激动和振奋人心，就让我们再次聆听这首歌，并在歌声中感受冬奥的魅力和运动的精神吧！ 北京卫视的微博视频                     ",,无,无,False,无,无,2021-03-21 13:53,Android,129,307,69
K7cU1xhmG,带词条，转评赞谢谢http://t.cn/A6tgdnXthttp://t.cn/A6tgdM33 http://t.cn/A6tgrQUg  ,,无,无,True,无,无,2021-03-21 13:31,Android,9,0,3
K7cRLz0nY,#肖战顾魏##余生请多指教#他俩合唱了！好配！！！肖战好帅@X玖少年团肖战DAYTOY 我是随乄心的微博视频  ,,无,无,True,"http://f.video.weibocdn.com/001m6VoGgx07Lf5VNhO801041202xWBL0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1616314358&ssig=SepRZuZd5o&KID=unistore,video",无,2021-03-21 13:26,苏战超话,366,72,80
K7cEo2Vin,#肖战余生请多指教#xz#肖战顾魏#  对于我来说，你的存在本身就是一束光再见一百次，也会沦陷一百次！！肖战我喜欢你@X玖少年团肖战DAYTOY #余生请多指教#  [组图共9张] 原图 ,,"http://ww3.sinaimg.cn/large/006YX2hmly1gorfv9x0ivg30xc0t24rh.gif,http://ww2.sinaimg.cn/large/006YX2hmly1gorfvdrw5gg30790afx6p.gif,http://ww4.sinaimg.cn/large/006YX2hmly1gorfvejs1yg30dc0hsx6p.gif,http://ww4.sinaimg.cn/large/006YX2hmly1gorfvn6vuxg30i90mtkjy.gif,http://ww4.sinaimg.cn/large/006YX2hmly1gorfvgxn98g30qo0j1hdw.gif,http://ww2.sinaimg.cn/large/006YX2hmly1gorfvpc8nij30u01hc0zj.jpg,http://ww2.sinaimg.cn/large/006YX2hmly1gorfvcs8tdg30cy0e8kjo.gif,http://ww1.sinaimg.cn/large/006YX2hmly1gorfvj8g2pg30hn0d34qu.gif,http://ww1.sinaimg.cn/large/006YX2hmly1gorfvhb8w8j30u01guad4.jpg",无,True,无,无,2021-03-21 12:53,肖战超话,851,181,188
K7c4vyQcz,"转发理由:和肖战@X玖少年团肖战DAYTOY 一起为冬奥助力，为奥运健儿加油！ #肖战冰球运动推广大使# #肖战[超话]#  
原始用户: 北京卫视
转发内容: #冬梦之约# “这个冬天，就在这个冬天，我要奔赴最激情的约会。这个冬天，梦想将被点燃，我要亲吻你冰雪的眼睛....”让我们再次回顾@X玖少年团肖战DAYTOY  和小朋友们共同演唱的这首《冬梦》，为冬奥助力，为奥运健儿加油！ 北京卫视的微博视频  ",,无,无,False,无,无,2021-03-21 11:24,Android,225,515,100
K7bDvlGk1,"转发理由:恭喜肖战连续44天破9登顶V榜电视剧演员TOP1！期待肖战待播新剧《余生请多指教》 #肖战顾魏#xz#肖战余生请多指教# #肖战[超话]#  
原始用户: Vlinkage
转发内容: 【寻艺指数】3月20日 #艺人新媒体指数# (电视剧演员)Top 20榜单：#肖战#，#张哲瀚#，#龚俊#，排名前3位， #景甜#，#杨幂#，#谭松韵#，分列4、5、6位。  原图 ",,无,http://wx1.sinaimg.cn/large/79aba393ly1gor9yjq8ywj20g50l1q5o.jpg,False,无,无,2021-03-21 10:18,Android,55,120,24
K7aXe6vR8,"转发理由://@你该美丽中带着刺:观影事项@肖战影音会官微 写的非常详细。  
原始用户: 你该美丽中带着刺
转发内容: 我们达成一个共识好不好自己不花钱买票不去现场的人禁止造谣式群发式“提醒”无论是预警各种现场状况还是指点话剧市场谁给你的资格正常温馨提示攻略和这种【假教育 真辱人】的区别 谁看不出来啊？  [组图共2张] 原图 ",,无,"http://ww2.sinaimg.cn/large/007aIu3Uly1goqvtuusqlj30v81amwke.jpg,http://ww4.sinaimg.cn/large/007aIu3Uly1goqvulm3p4j30zo1ee17g.jpg",False,无,无,2021-03-21 08:34,Android,17,21,6
K7aKRupJA,早🌹 大家每天醒来第一件事是做什么？  原图 ,,http://wx4.sinaimg.cn/large/006YX2hmly1gor7b73dd1j30qo0zktsg.jpg,无,True,无,无,2021-03-21 08:03,Android,83,3,61
K7aIA3Igi,#肖战余生请多指教#xz#肖战顾魏# 不被角色定性，一人千面！肖战最棒的永远是下一个角色👍🏻！@X玖少年团肖战DAYTOY #余生请多指教# 橘子港·的微博视频  ,,无,无,True,"http://f.video.weibocdn.com/HGgrVV4hlx07L7bsbr0401041200o9E80E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1616314359&ssig=ymZUrB0ABG&KID=unistore,video",无,2021-03-21 07:58,我们坐在高高的虾壳上听老虾讲过去的故事超话,80,23,26
K7aDBbRHM,#肖战爱心图书馆#赠人玫瑰，手有余香。我在“肖战爱心图书馆”项目捐款成功！@扬帆计划 肖战爱心图书馆  ,,无,无,True,无,无,2021-03-21 07:45,微公益,7,0,0
K7ay0xRH1,"转发理由:#肖战余生请多指教# xz#肖战顾魏# #肖战[超话]#  
原始用户: X玖少年团肖战DAYTOY
转发内容: 一起来将双手舞动！北京卫视剧集地的微博视频  ",,无,无,False,无,无,2021-03-21 07:32,Android,29,7,3
K7axmmJNj,"转发理由://@X玖少年团肖战DAYTOY:“致敬英雄城市，共享美好生活， #如梦之梦武汉公益场# 见！”  
原始用户: 央华戏剧
转发内容: #如梦之梦武汉公益场# 致敬英雄城市，共享美好生活；4月22日，保利·央华舞台剧《如梦之梦》武汉公益专场演出正式官宣！“共建明天，神州九城”央华版#如梦之梦#九周年市场演出行动演员阵容及巡演城市公布！  [组图共2张] 原图 ",,无,"http://ww1.sinaimg.cn/large/69560eb1ly1gopchinwebj20u016i1ky.jpg,http://ww1.sinaimg.cn/large/69560eb1ly1gopch8zjzjj20u04w6hdt.jpg",False,无,无,2021-03-21 07:30,Android,6,14,1
K7ax9r2qu,@X玖少年团肖战DAYTOY 我在#明星势力榜#内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第1位   ,,无,无,True,无,无,2021-03-21 07:30,Android,1,0,1
K7ax8dZPy,"转发理由:@X玖少年团肖战DAYTOY 我永远支持你！我们一起拿下 #明星势力榜# 第一名！  
原始用户: X玖少年团肖战DAYTOY
转发内容: #如梦之梦九周年#，看见自己，肖战，走进五号。@央华戏剧 X玖少年团肖战DAYTOY的微博视频  ",,无,无,False,无,无,2021-03-21 07:30,明星势力榜,3,1,0
K7au2sxiY,"我为@X玖少年团肖战DAYTOY  贡献星光，疯狂艾特@腾讯视频,快送我去#星光大赏# 现场为爱豆打call！ 星光大赏星光能量榜  ",,无,无,True,无,无,2021-03-21 07:22,Android,2,0,0
K7au1hHfC,我刚刚在#星光大赏# 为 @X玖少年团肖战DAYTOY  贡献星光，一起@腾讯视频 送我去现场为爱豆打call！ 星光大赏星光能量榜  ,,无,无,True,无,无,2021-03-21 07:22,能量榜,0,0,1
K7apeCd86,"转发理由:呃～好撩，好会！ #肖战顾魏#xz#肖战余生请多指教#  
原始用户: 你该美丽中带着刺
转发内容: #肖战看别人拍吻戏# 其实我们bg核武@X玖少年团肖战DAYTOY 自己的吻戏也很不错本直女看到这种片段真的很难不大喊一声“你是我失散多年的亲老公！！！”#肖战顾魏##肖战疾冲#  [组图共9张] 原图 ",,无,"http://ww3.sinaimg.cn/large/007aIu3Uly1goqrt7jekog30f00qohdx.gif,http://ww3.sinaimg.cn/large/007aIu3Uly1goqrv6it47g30xc0t24rh.gif,http://ww2.sinaimg.cn/large/007aIu3Uly1goqrvfoyvig30qo0k07wo.gif,http://ww3.sinaimg.cn/large/007aIu3Uly1goqrwe7ggpg30k00g0e8b.gif,http://ww1.sinaimg.cn/large/007aIu3Uly1goqrwj7g1og30qo0j1hdw.gif,http://ww4.sinaimg.cn/large/007aIu3Uly1goqrwm10hyg30dc0hsx6p.gif,http://ww2.sinaimg.cn/large/007aIu3Uly1goqrvyckttg30ig0ig7ww.gif,http://ww1.sinaimg.cn/large/007aIu3Uly1goqrwowgp0g30790afx6p.gif,http://ww1.sinaimg.cn/large/007aIu3Uly1goqrugxig1g30cy0e8kjo.gif",False,无,无,2021-03-21 07:10,Android,10,7,1
K789ptwBR,"转发理由:在第十，有奶粉❗ 【需要转评赞、大量内赞】辛苦啦  
原始用户: 五两甜
转发内容: #肖战[超话]##出场必出彩# 没有人可以错过肖战的出彩时刻，昂首阔步气度不凡，举手投足之间尽显迷人风采。 @X玖少年团肖战DAYTOY 五两甜的微博视频  赞[385824] 原文转发[17633] 原文评论[33693]转发理由:在第十，有奶粉❗ 【需要转评赞、大量内",,无,无,False,无,无,2021-03-21 01:26,Android,15,6,3
